payment_id,loan_id,payment_date,due_date,payment_amount,payment_status,days_late
70123,9012,2024-03-13,2024-03-13,26700,On-Time,0
70124,9012,2024-04-12,2024-04-12,26400,On-Time,0
70125,9012,2024-05-12,2024-05-12,26100,On-Time,0
70126,9012,2024-06-16,2024-06-11,0,Missed,5
70127,9012,2024-07-11,2024-07-11,25000,On-Time,0
70128,9012,2024-08-30,2024-08-10,23800,Late,20
70129,9012,2024-09-15,2024-09-09,27000,Late,6
70130,9012,2024-10-09,2024-10-09,27600,On-Time,0
70131,9013,2024-06-19,2024-06-19,7900,On-Time,0
70132,9013,2024-07-19,2024-07-19,7300,On-Time,0
70133,9013,2024-08-18,2024-08-18,7100,On-Time,0
70134,9013,2024-09-26,2024-09-17,7000,Late,9
70135,9013,2024-11-02,2024-10-17,7400,Late,16
70136,9013,2024-11-16,2024-11-16,7800,On-Time,0
70137,9013,2024-12-16,2024-12-16,7700,On-Time,0
70138,9013,2025-01-20,2025-01-15,6900,Late,5
70139,9013,2025-02-14,2025-02-14,7400,On-Time,0
70140,9013,2025-03-16,2025-03-16,7000,On-Time,0
70141,9013,2025-04-15,2025-04-15,7600,On-Time,0
70142,9013,2025-05-15,2025-05-15,7800,On-Time,0
70143,9014,2023-04-12,2023-04-12,3100,On-Time,0
70144,9014,2023-05-12,2023-05-12,3300,On-Time,0
70145,9014,2023-06-11,2023-06-11,3600,On-Time,0
70146,9014,2023-07-11,2023-07-11,3200,On-Time,0
70147,9014,2023-08-10,2023-08-10,3400,On-Time,0
70148,9014,2023-09-09,2023-09-09,3300,On-Time,0
70149,9014,2023-10-09,2023-10-09,3200,On-Time,0
70150,9014,2023-11-10,2023-11-08,3200,Late,2
70151,9014,2023-12-08,2023-12-08,3600,On-Time,0
70152,9014,2024-01-07,2024-01-07,3600,On-Time,0
70153,9014,2024-02-06,2024-02-06,3500,On-Time,0
70154,9014,2024-03-07,2024-03-07,3500,On-Time,0
70155,9015,2024-05-03,2024-05-03,13600,On-Time,0
70156,9015,2024-06-02,2024-06-02,12700,On-Time,0
70157,9015,2024-07-02,2024-07-02,12900,On-Time,0
70158,9015,2024-08-01,2024-08-01,13200,On-Time,0
70159,9015,2024-08-31,2024-08-31,14400,On-Time,0
70160,9015,2024-09-30,2024-09-30,14900,On-Time,0
70161,9015,2024-10-30,2024-10-30,13900,On-Time,0
70162,9015,2024-11-29,2024-11-29,13600,On-Time,0
70163,9015,2024-12-29,2024-12-29,12500,On-Time,0
70164,9015,2025-01-28,2025-01-28,13100,On-Time,0
70165,9015,2025-02-27,2025-02-27,12700,On-Time,0
70166,9015,2025-04-05,2025-03-29,0,Missed,7
70167,9016,2023-02-26,2023-02-26,22600,On-Time,0
70168,9016,2023-03-28,2023-03-28,21200,On-Time,0
70169,9016,2023-04-27,2023-04-27,21400,On-Time,0
70170,9016,2023-05-27,2023-05-27,21300,On-Time,0
70171,9016,2023-06-26,2023-06-26,22900,On-Time,0
70172,9016,2023-08-03,2023-07-26,0,Missed,8
70173,9016,2023-08-25,2023-08-25,24500,On-Time,0
70174,9016,2023-09-24,2023-09-24,25500,On-Time,0
70175,9016,2023-10-24,2023-10-24,23700,On-Time,0
70176,9016,2023-11-23,2023-11-23,21900,On-Time,0
70177,9016,2023-12-23,2023-12-23,24000,On-Time,0
70178,9016,2024-01-22,2024-01-22,22600,On-Time,0
70179,9017,2023-11-15,2023-11-05,90700,Late,10
70180,9017,2023-12-05,2023-12-05,75000,On-Time,0
70181,9017,2024-01-04,2024-01-04,82800,On-Time,0
70182,9017,2024-02-03,2024-02-03,83800,On-Time,0
70183,9017,2024-03-04,2024-03-04,90800,On-Time,0
70184,9017,2024-04-07,2024-04-03,0,Missed,4
70185,9017,2024-05-14,2024-05-03,87500,Late,11
70186,9017,2024-06-02,2024-06-02,89800,On-Time,0
70187,9017,2024-07-04,2024-07-02,74700,Late,2
70188,9017,2024-08-01,2024-08-01,80100,On-Time,0
70189,9017,2024-08-31,2024-08-31,75300,On-Time,0
70190,9017,2024-09-30,2024-09-30,74800,On-Time,0
70191,9018,2024-10-12,2024-10-12,39100,On-Time,0
70192,9018,2024-11-11,2024-11-11,38700,On-Time,0
70193,9018,2024-12-11,2024-12-11,39500,On-Time,0
70194,9018,2025-01-10,2025-01-10,39200,On-Time,0
70195,9018,2025-02-09,2025-02-09,41800,On-Time,0
70196,9018,2025-03-11,2025-03-11,45800,On-Time,0
70197,9018,2025-04-13,2025-04-10,41500,Late,3
70198,9018,2025-05-10,2025-05-10,40800,On-Time,0
70199,9018,2025-06-09,2025-06-09,40400,On-Time,0
70200,9018,2025-07-09,2025-07-09,42200,On-Time,0
70201,9018,2025-08-08,2025-08-08,42000,On-Time,0
70202,9018,2025-09-08,2025-09-07,0,Missed,1
70203,9019,2024-08-29,2024-08-29,29900,On-Time,0
70204,9019,2024-09-28,2024-09-28,32900,On-Time,0
70205,9019,2024-10-28,2024-10-28,31800,On-Time,0
70206,9019,2024-11-27,2024-11-27,32500,On-Time,0
70207,9019,2024-12-27,2024-12-27,29500,On-Time,0
70208,9019,2025-01-26,2025-01-26,31400,On-Time,0
70209,9019,2025-02-25,2025-02-25,33400,On-Time,0
70210,9019,2025-03-27,2025-03-27,30600,On-Time,0
70211,9019,2025-04-26,2025-04-26,33400,On-Time,0
70212,9019,2025-05-26,2025-05-26,29100,On-Time,0
70213,9019,2025-06-25,2025-06-25,27900,On-Time,0
70214,9019,2025-07-25,2025-07-25,32800,On-Time,0
70215,9020,2024-04-11,2024-03-28,5600,Late,14
70216,9020,2024-04-27,2024-04-27,5300,On-Time,0
70217,9020,2024-05-27,2024-05-27,5500,On-Time,0
70218,9020,2024-06-26,2024-06-26,5000,On-Time,0
70219,9020,2024-07-26,2024-07-26,5400,On-Time,0
70220,9020,2024-08-25,2024-08-25,6000,On-Time,0
70221,9020,2024-09-24,2024-09-24,5700,On-Time,0
70222,9020,2024-10-24,2024-10-24,5200,On-Time,0
70223,9020,2024-11-23,2024-11-23,5400,On-Time,0
70224,9020,2024-12-23,2024-12-23,5500,On-Time,0
70225,9020,2025-01-24,2025-01-22,5400,Late,2
70226,9020,2025-02-21,2025-02-21,5300,On-Time,0
70227,9021,2024-07-03,2024-07-03,5600,On-Time,0
70228,9021,2024-08-02,2024-08-02,6400,On-Time,0
70229,9021,2024-09-03,2024-09-01,0,Missed,2
70230,9021,2024-10-01,2024-10-01,6000,On-Time,0
70231,9021,2024-11-09,2024-10-31,6400,Late,9
70232,9021,2024-11-30,2024-11-30,6600,On-Time,0
70233,9021,2024-12-30,2024-12-30,6500,On-Time,0
70234,9021,2025-01-29,2025-01-29,6500,On-Time,0
70235,9021,2025-02-28,2025-02-28,6500,On-Time,0
70236,9021,2025-03-30,2025-03-30,6400,On-Time,0
70237,9021,2025-04-29,2025-04-29,5600,On-Time,0
70238,9021,2025-05-29,2025-05-29,5700,On-Time,0
70239,9022,2023-05-29,2023-05-29,11000,On-Time,0
70240,9022,2023-06-28,2023-06-28,9300,On-Time,0
70241,9022,2023-07-28,2023-07-28,9100,On-Time,0
70242,9022,2023-09-09,2023-08-27,10100,Late,13
70243,9022,2023-09-26,2023-09-26,10800,On-Time,0
70244,9022,2023-10-26,2023-10-26,10100,On-Time,0
70245,9022,2023-11-25,2023-11-25,11000,On-Time,0
70246,9022,2023-12-25,2023-12-25,9600,On-Time,0
70247,9022,2024-01-24,2024-01-24,10900,On-Time,0
70248,9022,2024-03-02,2024-02-23,0,Missed,8
70249,9022,2024-03-24,2024-03-24,9900,On-Time,0
70250,9022,2024-04-23,2024-04-23,10500,On-Time,0
70251,9023,2023-12-11,2023-12-11,12400,On-Time,0
70252,9023,2024-01-10,2024-01-10,13400,On-Time,0
70253,9023,2024-02-09,2024-02-09,14500,On-Time,0
70254,9023,2024-03-19,2024-03-10,14300,Late,9
70255,9023,2024-04-09,2024-04-09,13200,On-Time,0
70256,9023,2024-05-09,2024-05-09,12700,On-Time,0
70257,9023,2024-06-08,2024-06-08,14500,On-Time,0
70258,9023,2024-07-08,2024-07-08,13100,On-Time,0
70259,9023,2024-08-08,2024-08-07,14400,Late,1
70260,9023,2024-09-06,2024-09-06,13600,On-Time,0
70261,9023,2024-10-06,2024-10-06,14200,On-Time,0
70262,9023,2024-11-05,2024-11-05,14800,On-Time,0
70263,9024,2025-10-25,2025-10-12,8100,Late,13
70264,9024,2025-11-11,2025-11-11,8900,On-Time,0
70265,9024,2025-12-11,2025-12-11,9600,On-Time,0
70266,9025,2024-06-12,2024-06-04,0,Missed,8
70267,9025,2024-07-04,2024-07-04,14400,On-Time,0
70268,9025,2024-08-03,2024-08-03,16500,On-Time,0
70269,9025,2024-09-02,2024-09-02,14500,On-Time,0
70270,9025,2024-10-02,2024-10-02,16900,On-Time,0
70271,9025,2024-11-01,2024-11-01,14600,On-Time,0
70272,9025,2024-12-01,2024-12-01,16600,On-Time,0
70273,9025,2024-12-31,2024-12-31,17100,On-Time,0
70274,9025,2025-01-30,2025-01-30,17200,On-Time,0
70275,9025,2025-03-01,2025-03-01,16200,On-Time,0
70276,9025,2025-03-31,2025-03-31,15100,On-Time,0
70277,9025,2025-04-30,2025-04-30,15900,On-Time,0
70278,9026,2024-02-20,2024-02-20,3700,On-Time,0
70279,9026,2024-03-21,2024-03-21,3900,On-Time,0
70280,9026,2024-04-20,2024-04-20,4300,On-Time,0
70281,9026,2024-05-20,2024-05-20,4000,On-Time,0
70282,9026,2024-06-19,2024-06-19,4100,On-Time,0
70283,9026,2024-07-19,2024-07-19,3700,On-Time,0
70284,9026,2024-08-18,2024-08-18,4000,On-Time,0
70285,9026,2024-09-17,2024-09-17,4200,On-Time,0
70286,9026,2024-10-17,2024-10-17,4000,On-Time,0
70287,9026,2024-11-16,2024-11-16,3700,On-Time,0
70288,9026,2024-12-16,2024-12-16,4200,On-Time,0
70289,9026,2025-01-30,2025-01-15,0,Missed,15
70290,9027,2023-08-07,2023-08-07,5500,On-Time,0
70291,9027,2023-09-06,2023-09-06,6500,On-Time,0
70292,9027,2023-10-06,2023-10-06,6300,On-Time,0
70293,9027,2023-11-05,2023-11-05,5400,On-Time,0
70294,9027,2023-12-05,2023-12-05,5900,On-Time,0
70295,9027,2024-01-04,2024-01-04,6000,On-Time,0
70296,9027,2024-02-17,2024-02-03,6400,Late,14
70297,9027,2024-03-04,2024-03-04,6500,On-Time,0
70298,9027,2024-04-03,2024-04-03,6600,On-Time,0
70299,9027,2024-05-03,2024-05-03,6200,On-Time,0
70300,9027,2024-06-02,2024-06-02,6200,On-Time,0
70301,9027,2024-07-02,2024-07-02,6100,On-Time,0
70302,9028,2023-10-16,2023-10-16,7700,On-Time,0
70303,9028,2023-11-23,2023-11-15,0,Missed,8
70304,9028,2023-12-15,2023-12-15,8200,On-Time,0
70305,9028,2024-01-14,2024-01-14,8400,On-Time,0
70306,9028,2024-02-13,2024-02-13,8900,On-Time,0
70307,9028,2024-03-14,2024-03-14,7700,On-Time,0
70308,9028,2024-04-13,2024-04-13,7800,On-Time,0
70309,9028,2024-05-19,2024-05-13,8200,Late,6
70310,9028,2024-06-12,2024-06-12,8100,On-Time,0
70311,9028,2024-07-13,2024-07-12,8200,Late,1
70312,9028,2024-08-23,2024-08-11,8400,Late,12
70313,9028,2024-09-10,2024-09-10,8000,On-Time,0
70314,9029,2024-08-08,2024-08-08,3600,On-Time,0
70315,9029,2024-09-27,2024-09-07,4000,Late,20
70316,9029,2024-10-07,2024-10-07,4100,On-Time,0
70317,9029,2024-11-06,2024-11-06,4000,On-Time,0
70318,9029,2024-12-06,2024-12-06,4100,On-Time,0
70319,9029,2025-01-05,2025-01-05,3800,On-Time,0
70320,9029,2025-02-19,2025-02-04,3800,Late,15
70321,9029,2025-03-06,2025-03-06,3900,On-Time,0
70322,9029,2025-04-05,2025-04-05,3900,On-Time,0
70323,9029,2025-05-23,2025-05-05,3900,Late,18
70324,9029,2025-06-04,2025-06-04,3800,On-Time,0
70325,9029,2025-07-24,2025-07-04,4000,Late,20
70326,9030,2025-12-15,2025-12-15,1300,On-Time,0
70327,9031,2024-01-22,2024-01-22,68600,On-Time,0
70328,9031,2024-02-21,2024-02-21,82400,On-Time,0
70329,9031,2024-03-22,2024-03-22,74200,On-Time,0
70330,9031,2024-04-21,2024-04-21,78400,On-Time,0
70331,9031,2024-05-21,2024-05-21,79300,On-Time,0
70332,9031,2024-07-02,2024-06-20,79800,Late,12
70333,9031,2024-07-20,2024-07-20,75600,On-Time,0
70334,9031,2024-08-19,2024-08-19,80100,On-Time,0
70335,9031,2024-09-18,2024-09-18,72600,On-Time,0
70336,9031,2024-10-18,2024-10-18,73500,On-Time,0
70337,9031,2024-11-17,2024-11-17,78000,On-Time,0
70338,9031,2024-12-17,2024-12-17,77100,On-Time,0
70339,9032,2025-09-03,2025-09-03,15900,On-Time,0
70340,9032,2025-10-03,2025-10-03,15300,On-Time,0
70341,9032,2025-11-02,2025-11-02,16400,On-Time,0
70342,9032,2025-12-02,2025-12-02,14000,On-Time,0
70343,9033,2024-03-24,2024-03-24,8100,On-Time,0
70344,9033,2024-04-23,2024-04-23,7700,On-Time,0
70345,9033,2024-05-23,2024-05-23,7700,On-Time,0
70346,9033,2024-06-22,2024-06-22,8100,On-Time,0
70347,9033,2024-07-22,2024-07-22,7900,On-Time,0
70348,9033,2024-08-21,2024-08-21,7900,On-Time,0
70349,9033,2024-09-20,2024-09-20,8100,On-Time,0
70350,9033,2024-10-20,2024-10-20,8200,On-Time,0
70351,9033,2024-11-19,2024-11-19,8700,On-Time,0
70352,9033,2024-12-19,2024-12-19,8300,On-Time,0
70353,9033,2025-01-18,2025-01-18,9100,On-Time,0
70354,9033,2025-02-17,2025-02-17,8100,On-Time,0
70355,9034,2025-01-10,2025-01-10,2800,On-Time,0
70356,9034,2025-02-09,2025-02-09,2700,On-Time,0
70357,9034,2025-03-17,2025-03-11,2500,Late,6
70358,9034,2025-04-10,2025-04-10,2700,On-Time,0
70359,9034,2025-05-10,2025-05-10,2800,On-Time,0
70360,9034,2025-06-19,2025-06-09,2500,Late,10
70361,9034,2025-07-09,2025-07-09,2700,On-Time,0
70362,9034,2025-08-08,2025-08-08,2600,On-Time,0
70363,9034,2025-09-07,2025-09-07,2600,On-Time,0
70364,9034,2025-10-20,2025-10-07,2400,Late,13
70365,9034,2025-11-06,2025-11-06,2900,On-Time,0
70366,9034,2025-12-09,2025-12-06,0,Missed,3
70367,9035,2023-12-08,2023-12-08,1600,On-Time,0
70368,9035,2024-01-07,2024-01-07,1600,On-Time,0
70369,9035,2024-02-06,2024-02-06,1500,On-Time,0
70370,9035,2024-03-07,2024-03-07,1700,On-Time,0
70371,9035,2024-04-17,2024-04-06,0,Missed,11
70372,9035,2024-05-06,2024-05-06,1700,On-Time,0
70373,9035,2024-06-05,2024-06-05,1600,On-Time,0
70374,9035,2024-07-05,2024-07-05,1500,On-Time,0
70375,9035,2024-08-04,2024-08-04,1500,On-Time,0
70376,9035,2024-09-03,2024-09-03,1600,On-Time,0
70377,9035,2024-10-03,2024-10-03,1700,On-Time,0
70378,9035,2024-11-02,2024-11-02,1500,On-Time,0
70379,9036,2025-05-10,2025-05-10,19900,On-Time,0
70380,9036,2025-06-09,2025-06-09,17400,On-Time,0
70381,9036,2025-07-09,2025-07-09,19600,On-Time,0
70382,9036,2025-08-08,2025-08-08,17000,On-Time,0
70383,9036,2025-09-07,2025-09-07,17300,On-Time,0
70384,9036,2025-10-07,2025-10-07,16900,On-Time,0
70385,9036,2025-11-06,2025-11-06,20100,On-Time,0
70386,9036,2025-12-06,2025-12-06,19700,On-Time,0
70387,9037,2023-07-08,2023-07-08,6700,On-Time,0
70388,9037,2023-08-11,2023-08-07,0,Missed,4
70389,9037,2023-09-06,2023-09-06,7900,On-Time,0
70390,9037,2023-10-06,2023-10-06,6900,On-Time,0
70391,9037,2023-11-06,2023-11-05,7400,Late,1
70392,9037,2023-12-15,2023-12-05,0,Missed,10
70393,9037,2024-01-14,2024-01-04,6800,Late,10
70394,9037,2024-02-03,2024-02-03,7300,On-Time,0
70395,9037,2024-03-04,2024-03-04,6700,On-Time,0
70396,9037,2024-04-06,2024-04-03,7100,Late,3
70397,9037,2024-05-07,2024-05-03,0,Missed,4
70398,9037,2024-06-02,2024-06-02,7300,On-Time,0
70399,9038,2024-05-28,2024-05-14,5900,Late,14
70400,9038,2024-06-19,2024-06-13,5800,Late,6
70401,9038,2024-07-13,2024-07-13,5400,On-Time,0
70402,9038,2024-08-29,2024-08-12,5300,Late,17
70403,9038,2024-09-27,2024-09-11,5000,Late,16
70404,9038,2024-10-11,2024-10-11,5600,On-Time,0
70405,9038,2024-11-10,2024-11-10,5900,On-Time,0
70406,9038,2024-12-10,2024-12-10,5800,On-Time,0
70407,9038,2025-01-09,2025-01-09,5200,On-Time,0
70408,9038,2025-02-18,2025-02-08,5700,Late,10
70409,9038,2025-03-10,2025-03-10,5100,On-Time,0
70410,9038,2025-04-21,2025-04-09,5400,Late,12
70411,9039,2024-09-27,2024-09-27,4500,On-Time,0
70412,9039,2024-10-27,2024-10-27,4100,On-Time,0
70413,9039,2024-11-26,2024-11-26,4500,On-Time,0
70414,9039,2024-12-26,2024-12-26,4200,On-Time,0
70415,9039,2025-01-25,2025-01-25,4200,On-Time,0
70416,9039,2025-02-24,2025-02-24,4800,On-Time,0
70417,9039,2025-03-26,2025-03-26,4200,On-Time,0
70418,9039,2025-04-25,2025-04-25,4200,On-Time,0
70419,9039,2025-05-26,2025-05-25,4900,Late,1
70420,9039,2025-06-24,2025-06-24,4700,On-Time,0
70421,9039,2025-07-24,2025-07-24,4200,On-Time,0
70422,9039,2025-08-23,2025-08-23,4200,On-Time,0
70423,9040,2024-01-19,2024-01-19,11100,On-Time,0
70424,9040,2024-02-22,2024-02-18,0,Missed,4
70425,9040,2024-03-19,2024-03-19,9800,On-Time,0
70426,9040,2024-04-18,2024-04-18,10900,On-Time,0
70427,9040,2024-05-18,2024-05-18,9500,On-Time,0
70428,9040,2024-06-17,2024-06-17,10800,On-Time,0
70429,9040,2024-07-17,2024-07-17,9700,On-Time,0
70430,9040,2024-08-16,2024-08-16,10200,On-Time,0
70431,9040,2024-09-15,2024-09-15,10800,On-Time,0
70432,9040,2024-10-15,2024-10-15,11000,On-Time,0
70433,9040,2024-11-14,2024-11-14,10200,On-Time,0
70434,9040,2024-12-14,2024-12-14,10600,On-Time,0
70435,9041,2024-08-10,2024-08-10,5800,On-Time,0
70436,9041,2024-09-09,2024-09-09,5000,On-Time,0
70437,9041,2024-10-09,2024-10-09,5500,On-Time,0
70438,9041,2024-11-08,2024-11-08,5000,On-Time,0
70439,9041,2024-12-08,2024-12-08,5600,On-Time,0
70440,9041,2025-01-07,2025-01-07,5600,On-Time,0
70441,9041,2025-02-06,2025-02-06,4900,On-Time,0
70442,9041,2025-03-08,2025-03-08,5400,On-Time,0
70443,9041,2025-04-07,2025-04-07,5200,On-Time,0
70444,9041,2025-05-07,2025-05-07,5900,On-Time,0
70445,9041,2025-06-06,2025-06-06,5500,On-Time,0
70446,9041,2025-07-06,2025-07-06,5200,On-Time,0
70447,9042,2025-02-17,2025-02-17,20800,On-Time,0
70448,9042,2025-03-19,2025-03-19,20200,On-Time,0
70449,9042,2025-04-18,2025-04-18,19200,On-Time,0
70450,9042,2025-05-18,2025-05-18,18100,On-Time,0
70451,9042,2025-06-17,2025-06-17,17500,On-Time,0
70452,9042,2025-07-17,2025-07-17,17500,On-Time,0
70453,9042,2025-08-16,2025-08-16,18500,On-Time,0
70454,9042,2025-09-15,2025-09-15,19600,On-Time,0
70455,9042,2025-10-20,2025-10-15,19300,Late,5
70456,9042,2025-11-14,2025-11-14,18300,On-Time,0
70457,9042,2025-12-14,2025-12-14,17800,On-Time,0
70458,9043,2023-04-24,2023-04-24,5100,On-Time,0
70459,9043,2023-05-24,2023-05-24,5400,On-Time,0
70460,9043,2023-06-23,2023-06-23,5000,On-Time,0
70461,9043,2023-07-23,2023-07-23,5000,On-Time,0
70462,9043,2023-08-22,2023-08-22,5600,On-Time,0
70463,9043,2023-09-21,2023-09-21,5700,On-Time,0
70464,9043,2023-10-21,2023-10-21,5000,On-Time,0
70465,9043,2023-11-20,2023-11-20,5500,On-Time,0
70466,9043,2023-12-30,2023-12-20,4800,Late,10
70467,9043,2024-01-19,2024-01-19,5300,On-Time,0
70468,9043,2024-02-18,2024-02-18,5000,On-Time,0
70469,9043,2024-03-19,2024-03-19,5400,On-Time,0
70470,9044,2023-10-30,2023-10-30,1000,On-Time,0
