loan_id,application_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,tenure_months,loan_start_date,loan_end_date,loan_status
9134,5207,2938,138,Personal,1508900,13.74,84,2025-11-11,2032-10-05,Closed
9135,5208,4871,115,Business,4464800,8.62,180,2024-04-10,2039-01-22,Active
9136,5209,4767,111,Personal,814600,8.78,36,2025-06-03,2028-05-18,Active
9137,5211,1382,144,Business,1791200,7.66,60,2023-04-23,2028-03-27,Active
9138,5212,3841,115,Personal,1216700,9.04,12,2024-11-13,2025-11-08,Active
9139,5215,1502,122,Personal,563000,11.24,84,2025-07-08,2032-06-01,Closed
9140,5217,2920,104,Education,301300,10.3,60,2024-05-15,2029-04-19,Default
9141,5218,4627,124,Auto,1152500,8.9,84,2025-11-17,2032-10-11,Closed
9142,5219,1217,126,Home,1463400,12.28,36,2024-07-09,2027-06-24,Closed
9143,5220,4043,105,Business,1454000,11.44,60,2024-07-02,2029-06-06,Active
9144,5222,1330,138,Personal,2725800,8.07,180,2023-03-20,2037-12-31,Default
9145,5223,1936,112,Home,306100,9.73,84,2023-04-04,2030-02-26,Active
9146,5226,3654,102,Auto,874400,15.0,48,2024-08-04,2028-07-14,Active
9147,5227,4346,138,Personal,334800,12.72,24,2024-04-07,2026-03-28,Closed
9148,5228,2182,139,Education,426100,15.08,12,2023-02-28,2024-02-23,Active
9149,5229,2691,130,Auto,397400,10.87,36,2023-10-01,2026-09-15,Active
9150,5230,5796,128,Personal,387300,7.17,12,2025-02-11,2026-02-06,Closed
9151,5232,5209,143,Auto,589600,13.73,120,2023-04-29,2033-03-07,Active
9152,5233,5638,105,Education,89700,7.8,36,2024-10-08,2027-09-23,Closed
9153,5234,1941,141,Home,634200,15.01,180,2024-04-22,2039-02-03,Closed
9154,5235,2781,127,Business,641100,9.61,24,2023-01-31,2025-01-20,Closed
9155,5237,4472,108,Personal,635000,12.6,120,2023-12-10,2033-10-18,Active
9156,5238,3001,141,Personal,683000,14.19,12,2024-08-08,2025-08-03,Closed
9157,5239,1018,133,Personal,100800,10.89,48,2025-07-25,2029-07-04,Active
9158,5241,2034,114,Home,490500,10.66,180,2024-07-15,2039-04-28,Active
9159,5243,1565,144,Business,1244800,8.58,180,2025-05-15,2040-02-26,Closed
9160,5244,1699,142,Education,409600,13.19,36,2023-05-20,2026-05-04,Active
9161,5245,4127,119,Education,2267400,9.88,24,2024-04-12,2026-04-02,Closed
9162,5247,4228,128,Business,600400,12.33,180,2023-03-01,2037-12-12,Closed
9163,5248,1890,145,Home,527200,9.1,36,2024-10-26,2027-10-11,Closed
9164,5249,1391,146,Home,244700,13.28,180,2023-08-09,2038-05-22,Active
9165,5250,3810,136,Home,412300,12.92,180,2024-10-26,2039-08-09,Default
9166,5251,3173,117,Auto,746700,7.07,60,2023-11-15,2028-10-19,Active
9167,5252,4700,130,Home,773600,7.87,240,2024-04-22,2044-01-08,Default
9168,5258,2400,137,Home,1239600,7.7,120,2025-12-15,2035-10-24,Active
9169,5259,2215,112,Personal,3568700,7.3,120,2024-11-26,2034-10-05,Closed
9170,5261,3059,107,Home,229700,7.51,60,2025-07-15,2030-06-19,Active
9171,5262,1415,133,Education,510400,9.76,48,2024-09-18,2028-08-28,Active
9172,5264,5664,122,Home,478600,13.51,48,2023-11-27,2027-11-06,Closed
9173,5265,3910,131,Personal,271900,11.53,84,2024-05-11,2031-04-05,Closed
9174,5267,2580,125,Business,561100,7.9,36,2025-12-05,2028-11-19,Closed
9175,5268,2745,124,Personal,236300,7.44,24,2024-11-02,2026-10-23,Closed
9176,5270,5676,132,Home,348500,7.88,12,2024-10-18,2025-10-13,Active
9177,5271,1970,123,Education,361900,10.17,240,2025-06-19,2045-03-06,Active
9178,5274,5082,130,Education,824600,9.59,120,2023-08-26,2033-07-04,Active
9179,5275,5422,136,Personal,864700,13.03,36,2025-06-21,2028-06-05,Closed
9180,5276,1875,141,Home,221300,12.32,48,2023-03-03,2027-02-10,Closed
9181,5277,4508,115,Business,466000,14.45,36,2025-09-18,2028-09-02,Active
9182,5278,3719,126,Personal,338600,15.06,48,2025-11-09,2029-10-19,Active
9183,5279,5190,107,Personal,550300,7.01,60,2023-08-18,2028-07-22,Active
9184,5280,1336,130,Education,434500,8.94,60,2023-10-19,2028-09-22,Closed
9185,5282,1164,125,Personal,1062800,7.66,60,2024-10-17,2029-09-21,Active
9186,5284,5464,123,Home,344900,9.61,24,2023-10-21,2025-10-10,Closed
9187,5285,1319,127,Personal,1369800,12.08,84,2025-11-16,2032-10-10,Closed
9188,5287,2855,137,Education,718500,9.26,48,2025-05-29,2029-05-08,Closed
9189,5289,3944,131,Business,1121700,8.61,36,2023-06-12,2026-05-27,Closed
9190,5291,4766,129,Business,1749000,10.29,48,2024-04-28,2028-04-07,Default
9191,5292,1187,117,Auto,419500,7.15,36,2024-09-23,2027-09-08,Active
9192,5296,2827,107,Personal,972800,15.27,60,2025-09-21,2030-08-26,Closed
9193,5299,2681,149,Business,133700,15.22,48,2024-06-04,2028-05-14,Closed
9194,5300,4808,104,Home,769300,8.14,120,2024-04-16,2034-02-23,Active
9195,5301,1122,145,Personal,1221800,8.61,36,2024-05-04,2027-04-19,Closed
9196,5304,2254,135,Auto,436200,11.81,36,2025-10-26,2028-10-10,Active
9197,5305,1017,118,Personal,292200,9.62,84,2023-02-15,2030-01-09,Active
9198,5306,5098,140,Personal,4474300,7.1,180,2024-01-17,2038-10-30,Active
9199,5307,1267,149,Education,1262900,7.46,60,2023-04-28,2028-04-01,Default
9200,5308,5019,105,Education,227800,12.72,24,2024-01-28,2026-01-17,Closed
9201,5310,1251,133,Home,214700,8.79,60,2025-10-04,2030-09-08,Default
9202,5311,5373,107,Business,449400,11.58,12,2025-07-15,2026-07-10,Closed
9203,5312,4607,143,Home,208900,9.35,240,2023-02-19,2042-11-06,Active
9204,5315,3272,122,Home,556700,11.46,24,2024-07-12,2026-07-02,Active
9205,5316,4623,144,Personal,774500,15.49,36,2025-11-04,2028-10-19,Closed
9206,5317,1941,144,Personal,136100,12.87,240,2025-08-28,2045-05-15,Active
9207,5318,4485,126,Education,4328700,9.95,84,2023-11-11,2030-10-05,Active
9208,5319,1473,127,Personal,421200,15.2,120,2024-01-18,2033-11-26,Active
9209,5320,1514,101,Education,1414800,7.29,12,2023-10-10,2024-10-04,Active
9210,5323,3502,143,Business,250000,8.45,48,2025-01-30,2029-01-09,Closed
9211,5324,3687,113,Home,3070700,11.24,120,2025-06-17,2035-04-26,Active
9212,5325,4903,110,Business,4201500,9.48,60,2024-07-27,2029-07-01,Active
9213,5326,4962,123,Home,359500,13.12,36,2024-11-24,2027-11-09,Active
9214,5327,3529,112,Auto,657200,7.29,12,2024-05-10,2025-05-05,Active
9215,5328,3123,147,Home,550900,9.33,240,2024-09-26,2044-06-13,Closed
9216,5329,3357,115,Auto,1405200,14.27,84,2023-03-11,2030-02-02,Closed
9217,5331,5056,112,Education,143900,10.42,60,2025-05-17,2030-04-21,Closed
9218,5332,3435,124,Personal,81900,8.73,36,2024-07-31,2027-07-16,Default
9219,5333,4347,149,Business,323100,11.41,36,2024-08-11,2027-07-27,Closed
9220,5336,4783,132,Personal,1010300,10.11,24,2026-01-15,2028-01-05,Active
9221,5342,3317,126,Auto,162500,9.4,120,2025-12-03,2035-10-12,Default
9222,5344,2220,116,Home,88700,14.21,48,2024-09-26,2028-09-05,Closed
9223,5345,2880,135,Home,629700,14.24,48,2025-11-15,2029-10-25,Active
9224,5346,4177,148,Personal,616100,10.56,180,2024-06-03,2039-03-17,Active
9225,5347,2801,140,Personal,129000,12.13,36,2025-12-24,2028-12-08,Active
9226,5348,2099,116,Education,597100,13.11,240,2025-01-08,2044-09-25,Active
9227,5349,2121,118,Auto,863200,12.98,120,2025-11-06,2035-09-15,Closed
9228,5350,4723,118,Education,1546900,9.83,180,2024-01-21,2038-11-03,Active
9229,5351,5124,116,Business,1859500,12.62,60,2024-07-24,2029-06-28,Active
9230,5353,3910,115,Personal,759600,14.81,12,2025-11-04,2026-10-30,Active
9231,5355,2608,123,Personal,583000,7.47,84,2025-05-02,2032-03-26,Closed
9232,5356,4099,135,Personal,698200,7.62,180,2023-04-24,2038-02-04,Default
9233,5357,1150,107,Education,374100,14.25,60,2023-01-30,2028-01-04,Closed
9234,5358,1682,108,Business,510900,12.12,180,2023-08-05,2038-05-18,Closed
9235,5360,1762,150,Personal,171400,7.23,24,2024-04-09,2026-03-30,Active
9236,5361,1183,105,Auto,815900,13.51,180,2024-03-25,2039-01-06,Active
9237,5363,1173,129,Personal,424400,7.9,120,2024-03-29,2034-02-05,Closed
9238,5366,1355,128,Personal,2660400,14.14,120,2025-09-10,2035-07-20,Default
9239,5368,3433,130,Education,544700,11.11,240,2023-12-03,2043-08-20,Closed
9240,5369,1733,137,Education,895800,9.48,240,2024-01-04,2043-09-21,Active
9241,5370,1920,126,Home,1236700,12.25,24,2026-01-16,2028-01-06,Closed
9242,5371,2335,113,Auto,245000,8.48,36,2023-05-17,2026-05-01,Active
9243,5372,5650,141,Personal,398800,11.57,36,2023-01-30,2026-01-14,Active
9244,5375,1874,145,Personal,133900,11.16,240,2026-01-03,2045-09-20,Closed
9245,5378,3543,117,Home,258900,9.04,48,2024-07-03,2028-06-12,Active
9246,5379,5520,146,Personal,782200,12.68,60,2023-08-05,2028-07-09,Closed
9247,5380,5937,145,Personal,630200,9.98,24,2025-08-17,2027-08-07,Active
9248,5381,1255,134,Home,961000,14.23,120,2024-04-11,2034-02-18,Closed
9249,5382,4835,129,Personal,722500,7.71,12,2023-02-10,2024-02-05,Active
9250,5383,5357,142,Auto,281600,13.55,36,2024-12-19,2027-12-04,Closed
9251,5385,3628,107,Education,573900,10.72,60,2023-02-15,2028-01-20,Active
9252,5389,1206,114,Education,2206800,9.65,240,2024-07-10,2044-03-27,Active
9253,5390,3130,136,Home,55600,14.98,60,2025-02-23,2030-01-28,Active
9254,5393,1267,116,Auto,1219700,8.7,84,2023-05-26,2030-04-19,Active
9255,5394,5847,115,Home,473300,10.6,180,2023-02-14,2037-11-27,Active
9256,5395,2767,140,Education,394000,10.94,60,2025-02-05,2030-01-10,Active
9257,5396,2764,107,Home,1837500,9.53,120,2025-01-25,2034-12-04,Active
9258,5400,1554,146,Personal,348900,7.76,240,2025-05-20,2045-02-04,Active
9259,5403,3677,136,Education,855600,14.69,84,2023-03-29,2030-02-20,Active
9260,5404,4797,133,Education,351300,14.6,48,2025-05-16,2029-04-25,Default
9261,5405,4843,145,Education,424500,12.35,240,2023-03-06,2042-11-21,Active
9262,5408,4429,143,Home,259900,9.76,36,2024-10-03,2027-09-18,Active
9263,5409,2057,106,Education,2568500,12.34,36,2025-08-12,2028-07-27,Active
9264,5410,1838,101,Personal,399600,15.2,24,2025-09-16,2027-09-06,Default
9265,5411,3613,123,Home,126500,14.51,84,2023-05-17,2030-04-10,Active
9266,5414,2522,135,Personal,1136800,8.41,24,2023-03-07,2025-02-24,Closed
9267,5415,3771,139,Personal,561500,13.94,24,2025-07-07,2027-06-27,Default
9268,5416,4797,106,Personal,1569000,13.78,36,2024-02-21,2027-02-05,Default
9269,5417,2022,110,Personal,227200,14.8,36,2024-10-07,2027-09-22,Closed
9270,5418,4121,115,Personal,1276800,7.4,24,2024-11-17,2026-11-07,Closed
9271,5419,4086,105,Education,728500,13.52,24,2025-04-07,2027-03-28,Closed
9272,5420,4790,112,Home,563400,11.64,84,2024-10-31,2031-09-25,Default
9273,5422,3841,132,Home,250200,11.58,180,2023-08-04,2038-05-17,Closed
9274,5425,4647,105,Home,440600,9.97,48,2024-10-07,2028-09-16,Closed
9275,5426,1432,142,Education,396200,13.68,48,2023-05-20,2027-04-29,Active
9276,5427,1567,102,Business,719100,10.6,84,2025-10-10,2032-09-03,Closed
9277,5428,1481,141,Home,676800,10.04,60,2024-02-21,2029-01-25,Closed
9278,5431,5272,133,Home,1044400,15.16,48,2023-09-20,2027-08-30,Active
9279,5433,4959,142,Personal,2408800,10.93,60,2026-01-06,2030-12-11,Closed
9280,5440,3996,106,Auto,514500,13.74,240,2025-05-31,2045-02-15,Closed
9281,5441,2971,126,Education,937000,8.18,60,2024-08-08,2029-07-13,Closed
9282,5442,1431,126,Education,933800,13.29,120,2025-02-22,2035-01-01,Active
9283,5443,5094,108,Education,310500,12.7,12,2024-08-12,2025-08-07,Closed
9284,5444,4664,125,Auto,1056300,11.34,36,2023-08-01,2026-07-16,Active
9285,5445,5416,123,Home,203300,8.17,84,2024-01-05,2030-11-29,Active
9286,5447,3119,138,Home,536200,8.02,84,2024-05-27,2031-04-21,Active
9287,5448,2112,117,Home,231000,12.75,12,2023-05-22,2024-05-16,Closed
9288,5451,3215,116,Home,353800,14.27,24,2025-02-20,2027-02-10,Active
9289,5452,5727,145,Home,482300,11.82,48,2024-11-22,2028-11-01,Active
9290,5453,1797,146,Home,2446100,10.92,36,2024-07-31,2027-07-16,Closed
9291,5456,2422,127,Home,294700,11.42,180,2024-01-16,2038-10-29,Closed
9292,5458,5103,125,Education,216500,8.33,60,2024-10-29,2029-10-03,Active
9293,5459,2746,132,Auto,329300,7.44,60,2023-08-16,2028-07-20,Active
9294,5460,5075,125,Personal,594000,14.05,84,2023-09-22,2030-08-16,Closed
9295,5462,1238,132,Personal,122500,14.19,84,2025-11-08,2032-10-02,Closed
9296,5463,3499,140,Personal,695100,13.4,48,2023-04-21,2027-03-31,Closed
9297,5467,2005,119,Business,553600,13.56,24,2023-11-03,2025-10-23,Active
9298,5469,3251,146,Auto,173200,8.82,48,2025-02-23,2029-02-02,Closed
9299,5471,3908,122,Personal,1789000,7.92,84,2025-07-10,2032-06-03,Default
9300,5472,5216,119,Auto,1042900,8.36,120,2024-10-05,2034-08-14,Active
9301,5473,5761,111,Personal,771300,12.43,48,2024-03-24,2028-03-03,Active
9302,5478,5727,122,Personal,936300,10.38,240,2023-04-22,2043-01-07,Default
9303,5480,1953,120,Home,275400,7.13,180,2024-10-25,2039-08-08,Active
9304,5483,2617,147,Personal,132900,15.08,120,2024-07-04,2034-05-13,Closed
9305,5485,4399,116,Auto,395100,8.96,120,2025-06-30,2035-05-09,Closed
9306,5486,3445,145,Auto,436700,7.04,12,2024-03-13,2025-03-08,Closed
9307,5488,1790,143,Home,42600,10.26,240,2025-01-14,2044-10-01,Active
9308,5490,4964,111,Personal,1414800,8.81,120,2023-07-09,2033-05-17,Closed
9309,5491,3382,147,Auto,229600,10.14,240,2024-07-04,2044-03-21,Default
9310,5495,3500,106,Home,101200,14.98,240,2025-06-14,2045-03-01,Active
9311,5497,4160,141,Home,208500,12.28,180,2024-12-18,2039-10-01,Closed
9312,5499,5718,103,Auto,203700,12.49,120,2023-06-06,2033-04-14,Active
9313,5500,5268,119,Business,223000,14.51,24,2023-03-18,2025-03-07,Active
9314,5504,3084,142,Business,1142500,7.97,84,2023-11-11,2030-10-05,Closed
9315,5505,2477,110,Education,863600,7.85,120,2025-02-19,2034-12-29,Closed
9316,5506,1225,132,Personal,230400,14.27,12,2023-11-07,2024-11-01,Closed
9317,5508,3978,121,Personal,436800,8.35,12,2025-03-30,2026-03-25,Closed
9318,5511,4365,131,Personal,549000,13.24,24,2025-07-14,2027-07-04,Active
9319,5512,3797,106,Home,905300,8.78,48,2024-10-04,2028-09-13,Closed
9320,5515,5463,146,Auto,282100,11.04,240,2026-01-18,2045-10-05,Active
9321,5516,2507,137,Business,365500,10.28,120,2024-10-15,2034-08-24,Active
9322,5518,2024,104,Home,166800,7.88,180,2024-10-12,2039-07-26,Active
9323,5519,2411,145,Auto,311800,12.71,36,2023-12-24,2026-12-08,Active
9324,5525,3190,135,Education,1172500,14.27,120,2023-03-22,2033-01-28,Closed
9325,5526,4347,113,Business,1787000,7.84,180,2025-10-17,2040-07-30,Default
9326,5528,2637,139,Auto,544700,10.04,48,2023-03-21,2027-02-28,Active
9327,5530,3829,112,Education,734000,7.24,24,2025-03-24,2027-03-14,Default
9328,5531,2569,143,Home,364300,9.01,240,2024-01-31,2043-10-18,Closed
9329,5532,2652,123,Education,42500,9.21,48,2024-05-17,2028-04-26,Active
9330,5533,4169,103,Personal,154300,13.95,180,2025-01-20,2039-11-03,Active
9331,5534,3377,150,Home,1686500,13.39,12,2023-04-06,2024-03-31,Closed
9332,5535,4791,117,Home,1119600,14.07,24,2024-05-05,2026-04-25,Active
9333,5536,4013,122,Business,467400,7.68,60,2023-04-12,2028-03-16,Closed
9334,5537,2397,146,Auto,762100,8.13,180,2023-02-09,2037-11-22,Active
9335,5538,4583,129,Business,311000,9.58,84,2024-02-24,2031-01-18,Active
9336,5539,3823,127,Education,341600,13.33,84,2023-07-15,2030-06-08,Active
9337,5542,3059,143,Personal,968500,7.21,48,2024-12-31,2028-12-10,Closed
