application_id,customer_id,application_date,loan_type,requested_amount,approval_status,rejection_reason
5051,5652,2023-10-09,Home,142500,Approved,
5052,3457,2025-03-15,Personal,729500,Approved,
5053,4163,2023-05-19,Personal,458000,Approved,
5054,1239,2024-03-28,Personal,464900,Approved,
5055,5413,2024-08-26,Personal,356800,Approved,
5056,1770,2023-12-16,Personal,557700,Approved,
5057,3127,2024-06-14,Personal,217500,Approved,
5058,5087,2023-04-19,Business,1241200,Rejected,Insufficient Income
5059,5426,2024-12-23,Home,513900,Approved,
5060,1777,2024-05-13,Home,307400,Rejected,High Existing Debt
5061,4779,2023-02-26,Business,978000,Approved,
5062,2734,2024-09-25,Personal,428300,Rejected,Incomplete Documents
5063,3949,2023-09-11,Personal,62600,Approved,
5064,2694,2025-04-28,Personal,4331000,Approved,
5065,3519,2023-05-25,Home,1075600,Rejected,Incomplete Documents
5066,4134,2025-02-21,Education,1738700,Approved,
5067,5231,2025-08-23,Home,281700,Rejected,Incomplete Documents
5068,1947,2023-06-17,Auto,982500,Rejected,Insufficient Income
5069,5256,2023-05-19,Home,425800,Rejected,High Existing Debt
5070,5938,2024-01-13,Auto,901600,Pending,
5071,3803,2023-09-26,Business,395800,Approved,
5072,2125,2023-12-03,Personal,2086100,Approved,
5073,2249,2025-11-17,Personal,750400,Approved,
5074,1555,2024-04-10,Personal,571700,Approved,
5075,2389,2025-08-01,Personal,634700,Approved,
5076,1415,2025-11-05,Home,408500,Approved,
5077,4648,2025-07-04,Education,388500,Approved,
5078,1840,2023-08-19,Personal,2523900,Approved,
5079,2207,2024-08-25,Auto,188500,Rejected,Incomplete Documents
5080,1656,2023-12-19,Personal,1558100,Approved,
5081,2656,2024-05-28,Personal,260400,Approved,
5082,5873,2023-07-24,Business,343200,Approved,
5083,1979,2024-01-19,Personal,958700,Approved,
5084,1551,2023-11-21,Personal,387900,Approved,
5085,1300,2023-03-11,Personal,598000,Approved,
5086,2321,2024-07-15,Business,305300,Approved,
5087,5684,2023-06-25,Personal,983900,Rejected,Insufficient Income
5088,4017,2024-05-25,Business,221600,Rejected,High Existing Debt
5089,4980,2024-12-21,Personal,774500,Approved,
5090,3096,2024-01-28,Business,2069700,Rejected,High Existing Debt
5091,1205,2023-09-02,Personal,2370300,Rejected,Incomplete Documents
5092,4872,2025-07-24,Home,2154300,Pending,
5093,1422,2023-05-10,Personal,166000,Approved,
5094,2986,2024-08-07,Auto,837800,Rejected,Insufficient Income
5095,2974,2024-08-31,Business,1749700,Approved,
5096,4861,2025-11-08,Home,1092300,Rejected,Low Credit Score
5097,4747,2024-11-03,Auto,135400,Approved,
5098,2704,2024-05-18,Personal,187300,Approved,
5099,5646,2025-01-18,Personal,733200,Approved,
5100,5025,2024-06-25,Personal,1021700,Approved,
5101,4237,2025-09-25,Personal,1004900,Rejected,Incomplete Documents
5102,4684,2025-06-16,Personal,582000,Approved,
5103,2794,2023-01-03,Personal,410600,Rejected,Low Credit Score
5104,2711,2025-06-20,Home,236900,Approved,
5105,4622,2023-06-09,Personal,706500,Rejected,High Existing Debt
5106,1684,2025-06-13,Personal,4831600,Approved,
5107,1023,2025-04-07,Personal,2218400,Pending,
5108,2433,2023-03-08,Business,943500,Pending,
5109,3489,2024-08-02,Education,1526200,Approved,
5110,4130,2023-08-29,Business,1923900,Approved,
5111,2792,2025-11-06,Personal,1387900,Approved,
5112,2818,2025-01-18,Auto,1139500,Approved,
5113,5783,2024-02-19,Personal,1089900,Rejected,Incomplete Documents
5114,4168,2023-08-09,Auto,239500,Approved,
5115,4496,2024-12-15,Personal,1849700,Rejected,Low Credit Score
5116,5558,2024-12-01,Home,1480600,Approved,
5117,5725,2025-05-13,Business,287200,Approved,
5118,1752,2025-11-29,Auto,253700,Approved,
5119,4427,2024-11-20,Auto,352000,Approved,
5120,1666,2023-07-11,Auto,1960600,Rejected,Incomplete Documents
5121,1308,2024-02-29,Auto,407600,Approved,
5122,2869,2024-03-31,Personal,401200,Approved,
5123,1303,2025-03-21,Home,979800,Approved,
5124,1712,2025-06-11,Home,461400,Approved,
5125,1526,2024-08-28,Personal,321300,Approved,
5126,5143,2024-03-09,Auto,81400,Approved,
5127,1760,2025-01-17,Personal,1954000,Approved,
5128,5702,2024-12-25,Personal,445800,Approved,
5129,3547,2024-10-30,Auto,1612000,Approved,
5130,1106,2025-07-13,Education,415400,Rejected,Insufficient Income
5131,5836,2023-03-21,Personal,138900,Rejected,Low Credit Score
5132,1907,2024-01-06,Auto,541300,Rejected,High Existing Debt
5133,3419,2025-05-14,Business,102800,Approved,
5134,5888,2023-05-02,Home,184100,Pending,
5135,4666,2025-04-13,Auto,385400,Approved,
5136,1070,2025-12-03,Business,443200,Approved,
5137,3926,2023-09-17,Auto,631200,Approved,
5138,5082,2025-03-17,Home,1819700,Approved,
5139,2099,2025-03-27,Personal,405100,Rejected,High Existing Debt
5140,1135,2023-09-18,Home,152800,Approved,
5141,1737,2024-07-10,Business,2370400,Rejected,Low Credit Score
5142,1138,2025-12-19,Business,1163100,Approved,
5143,2877,2024-07-01,Personal,180100,Pending,
5144,4959,2025-07-25,Business,1033200,Rejected,Insufficient Income
5145,2438,2025-10-30,Home,456700,Approved,
5146,3288,2025-03-14,Home,299900,Approved,
5147,1217,2023-04-13,Auto,625100,Rejected,Insufficient Income
5148,3929,2025-06-28,Business,592600,Approved,
5149,4084,2025-04-23,Auto,628400,Approved,
5150,1387,2025-02-23,Business,507700,Approved,
5151,1923,2024-06-16,Personal,208900,Rejected,Insufficient Income
5152,5691,2024-05-15,Personal,620300,Approved,
5153,3888,2023-04-07,Business,314100,Rejected,Low Credit Score
5154,1036,2025-04-01,Home,251800,Approved,
5155,1829,2024-02-01,Personal,341000,Rejected,Incomplete Documents
5156,2636,2024-07-15,Personal,247700,Pending,
5157,4538,2024-05-10,Home,305900,Approved,
5158,5807,2023-09-14,Personal,281500,Pending,
5159,4265,2023-07-24,Personal,90300,Rejected,Low Credit Score
5160,3369,2024-05-13,Personal,728100,Approved,
5161,5819,2023-07-11,Auto,381800,Approved,
5162,4458,2023-07-12,Home,594200,Rejected,Insufficient Income
5163,3830,2023-08-26,Business,735200,Rejected,Insufficient Income
5164,4395,2023-08-13,Personal,672900,Rejected,Incomplete Documents
5165,4939,2025-02-11,Education,791100,Approved,
5166,2485,2025-08-22,Personal,560700,Approved,
5167,3033,2024-09-10,Personal,718400,Pending,
5168,1323,2023-02-26,Business,161300,Approved,
5169,2161,2024-06-03,Home,560000,Approved,
5170,3952,2025-05-22,Home,548500,Approved,
5171,2693,2024-01-30,Auto,447600,Rejected,High Existing Debt
5172,2974,2025-08-15,Personal,584100,Approved,
5173,3983,2023-06-07,Auto,205200,Rejected,Incomplete Documents
5174,4070,2023-05-07,Personal,482500,Approved,
5175,2825,2025-09-10,Home,575300,Approved,
5176,3967,2023-08-25,Auto,1756500,Approved,
5177,3943,2023-11-29,Home,565000,Pending,
5178,3216,2025-11-25,Personal,299700,Rejected,Insufficient Income
5179,3406,2024-09-16,Personal,108700,Approved,
5180,4131,2025-06-28,Home,507000,Pending,
5181,3916,2023-04-28,Home,778800,Rejected,High Existing Debt
5182,2984,2024-04-29,Personal,557600,Approved,
5183,2848,2025-03-26,Business,1228500,Pending,
5184,1683,2024-02-25,Personal,215100,Approved,
5185,3296,2025-03-20,Auto,271500,Pending,
5186,5922,2024-02-15,Home,3106000,Rejected,High Existing Debt
5187,4070,2023-11-18,Home,593400,Approved,
5188,4968,2023-10-30,Auto,414000,Approved,
5189,4468,2025-04-23,Education,440700,Rejected,High Existing Debt
5190,1932,2024-06-07,Home,343200,Rejected,High Existing Debt
5191,4017,2024-03-26,Business,1213800,Approved,
5192,3529,2024-06-21,Business,291900,Approved,
5193,1646,2024-02-15,Business,483500,Approved,
5194,5289,2023-04-19,Home,241900,Approved,
5195,1500,2025-11-02,Personal,50000,Approved,
5196,5248,2025-01-27,Education,403600,Rejected,Insufficient Income
5197,1669,2025-04-03,Education,521900,Rejected,Incomplete Documents
5198,3317,2024-03-28,Personal,488000,Approved,
5199,5671,2023-06-20,Business,2160500,Approved,
5200,3039,2025-01-31,Auto,655700,Approved,
5201,1317,2023-12-05,Business,897700,Approved,
5202,3648,2023-02-28,Personal,3305800,Approved,
5203,1987,2024-05-21,Auto,1131500,Pending,
5204,5292,2024-04-24,Personal,264500,Approved,
5205,5474,2024-10-30,Auto,272900,Approved,
5206,3166,2025-08-02,Personal,181400,Approved,
5207,2938,2025-10-20,Personal,1584100,Approved,
5208,4871,2024-03-23,Business,4730300,Approved,
5209,4767,2025-06-01,Personal,857600,Approved,
5210,5335,2023-08-01,Auto,461100,Rejected,High Existing Debt
5211,1382,2023-04-09,Business,2254600,Approved,
5212,3841,2024-10-19,Personal,1494300,Approved,
5213,2656,2025-12-08,Auto,275600,Rejected,Low Credit Score
5214,1664,2023-06-24,Education,571400,Rejected,High Existing Debt
5215,1502,2025-06-19,Personal,707600,Approved,
5216,1620,2025-03-15,Personal,436600,Rejected,Low Credit Score
5217,2920,2024-05-03,Education,386000,Approved,
5218,4627,2025-10-26,Auto,1197300,Approved,
5219,1217,2024-07-07,Home,1948700,Approved,
5220,4043,2024-06-11,Business,1603300,Approved,
5221,3662,2024-12-28,Personal,1121900,Rejected,Incomplete Documents
5222,1330,2023-03-14,Personal,2815300,Approved,
5223,1936,2023-03-08,Home,386600,Approved,
5224,2465,2024-08-15,Personal,415800,Pending,
5225,1423,2023-01-27,Home,980800,Rejected,Incomplete Documents
5226,3654,2024-07-29,Auto,889600,Approved,
5227,4346,2024-03-09,Personal,338400,Approved,
5228,2182,2023-02-25,Education,476000,Approved,
5229,2691,2023-09-24,Auto,433500,Approved,
5230,5796,2025-02-07,Personal,486200,Approved,
5231,4505,2024-07-02,Personal,974100,Rejected,Incomplete Documents
5232,5209,2023-04-11,Auto,591900,Approved,
5233,5638,2024-10-06,Education,96000,Approved,
5234,1941,2024-04-12,Home,721500,Approved,
5235,2781,2023-01-23,Business,732500,Approved,
5236,4510,2024-11-27,Home,1226400,Rejected,High Existing Debt
5237,4472,2023-11-23,Personal,702100,Approved,
5238,3001,2024-07-30,Personal,857400,Approved,
5239,1018,2025-07-09,Personal,112100,Approved,
5240,1159,2024-10-20,Personal,608800,Pending,
5241,2034,2024-06-20,Home,639100,Approved,
5242,5969,2024-01-15,Home,1114600,Pending,
5243,1565,2025-04-29,Business,1381300,Approved,
5244,1699,2023-05-06,Education,458300,Approved,
5245,4127,2024-03-17,Education,2701200,Approved,
5246,2769,2025-04-08,Personal,744300,Rejected,High Existing Debt
5247,4228,2023-02-13,Business,777200,Approved,
5248,1890,2024-10-22,Home,594000,Approved,
5249,1391,2023-07-18,Home,284700,Approved,
5250,3810,2024-10-14,Home,497900,Approved,
5251,3173,2023-11-04,Auto,871300,Approved,
5252,4700,2024-04-18,Home,1011000,Approved,
5253,3267,2023-08-24,Personal,607500,Rejected,Low Credit Score
5254,5377,2023-08-13,Home,227300,Rejected,Low Credit Score
5255,3488,2023-12-26,Education,276100,Rejected,Insufficient Income
5256,4112,2024-02-28,Business,2792100,Rejected,High Existing Debt
5257,3519,2025-10-11,Business,651500,Rejected,Low Credit Score
5258,2400,2025-12-13,Home,1607100,Approved,
5259,2215,2024-10-28,Personal,4539900,Approved,
5260,3482,2023-12-01,Auto,198700,Rejected,Low Credit Score
5261,3059,2025-06-17,Home,258600,Approved,
5262,1415,2024-08-27,Education,621900,Approved,
5263,4920,2023-04-05,Business,312700,Rejected,Insufficient Income
5264,5664,2023-11-11,Home,591700,Approved,
5265,3910,2024-05-02,Personal,299600,Approved,
5266,3403,2025-06-06,Personal,433100,Rejected,Incomplete Documents
5267,2580,2025-11-07,Business,624000,Approved,
5268,2745,2024-10-25,Personal,283200,Approved,
5269,1261,2025-04-08,Auto,705800,Rejected,Insufficient Income
5270,5676,2024-09-28,Home,354100,Approved,
5271,1970,2025-06-04,Education,426000,Approved,
5272,1095,2025-08-10,Home,995500,Rejected,Insufficient Income
5273,4793,2024-11-17,Auto,722800,Rejected,Incomplete Documents
5274,5082,2023-08-09,Education,1034100,Approved,
5275,5422,2025-05-29,Personal,889400,Approved,
5276,1875,2023-02-06,Home,239100,Approved,
5277,4508,2025-08-29,Business,497200,Approved,
5278,3719,2025-10-20,Personal,351900,Approved,
5279,5190,2023-07-24,Personal,579800,Approved,
5280,1336,2023-09-28,Education,451700,Approved,
5281,2525,2023-07-01,Auto,957400,Rejected,High Existing Debt
5282,1164,2024-09-22,Personal,1317100,Approved,
5283,3942,2024-07-27,Personal,372400,Rejected,High Existing Debt
5284,5464,2023-10-08,Home,381500,Approved,
5285,1319,2025-11-01,Personal,1490600,Approved,
5286,2279,2024-09-28,Personal,1835100,Pending,
5287,2855,2025-05-07,Education,872800,Approved,
5288,2809,2023-10-20,Education,275300,Rejected,High Existing Debt
5289,3944,2023-05-17,Business,1123300,Approved,
5290,2444,2023-07-16,Business,1162200,Rejected,Low Credit Score
5291,4766,2024-03-30,Business,1837500,Approved,
5292,1187,2024-09-04,Auto,428600,Approved,
5293,1428,2023-01-07,Auto,2534000,Pending,
5294,2148,2024-01-24,Home,201900,Pending,
5295,5121,2024-11-07,Personal,1218100,Rejected,Incomplete Documents
5296,2827,2025-09-13,Personal,1234500,Approved,
5297,5573,2024-05-27,Education,1319500,Rejected,High Existing Debt
5298,4759,2024-12-18,Personal,109300,Rejected,Incomplete Documents
5299,2681,2024-05-15,Business,176100,Approved,
5300,4808,2024-03-19,Home,1016100,Approved,
5301,1122,2024-04-20,Personal,1263900,Approved,
5302,4295,2025-03-19,Business,421000,Pending,
5303,1983,2025-06-22,Personal,507900,Rejected,Low Credit Score
5304,2254,2025-10-01,Auto,492000,Approved,
5305,1017,2023-02-10,Personal,353400,Approved,
5306,5098,2024-01-14,Personal,4702900,Approved,
5307,1267,2023-04-03,Education,1386300,Approved,
5308,5019,2023-12-31,Education,251800,Approved,
5309,2873,2023-09-15,Education,1152100,Pending,
5310,1251,2025-09-16,Home,226100,Approved,
5311,5373,2025-07-04,Business,518200,Approved,
5312,4607,2023-01-30,Home,264300,Approved,
5313,2850,2023-10-13,Personal,136800,Pending,
5314,2721,2023-12-21,Business,832900,Rejected,Incomplete Documents
5315,3272,2024-06-18,Home,568400,Approved,
5316,4623,2025-10-15,Personal,801500,Approved,
5317,1941,2025-07-29,Personal,167600,Approved,
5318,4485,2023-11-01,Education,5201400,Approved,
5319,1473,2024-01-10,Personal,441000,Approved,
5320,1514,2023-09-10,Education,1424700,Approved,
5321,3213,2025-03-26,Home,573300,Rejected,Insufficient Income
5322,1300,2025-12-03,Auto,581900,Pending,
5323,3502,2025-01-21,Business,264900,Approved,
5324,3687,2025-06-11,Home,4024100,Approved,
5325,4903,2024-07-06,Business,4930900,Approved,
5326,4962,2024-10-28,Home,380800,Approved,
5327,3529,2024-04-24,Auto,758400,Approved,
5328,3123,2024-09-01,Home,599500,Approved,
5329,3357,2023-02-26,Auto,1851200,Approved,
5330,5172,2025-02-18,Auto,3022400,Rejected,High Existing Debt
5331,5056,2025-04-29,Education,179200,Approved,
5332,3435,2024-07-25,Personal,87100,Approved,
5333,4347,2024-07-29,Business,404800,Approved,
5334,4005,2025-02-10,Personal,252900,Rejected,High Existing Debt
5335,3795,2025-07-29,Home,438000,Rejected,Low Credit Score
5336,4783,2025-12-20,Personal,1017600,Approved,
5337,5556,2023-09-01,Personal,1643600,Rejected,Low Credit Score
5338,2565,2024-02-19,Personal,586000,Pending,
5339,2864,2024-11-01,Home,1311300,Rejected,Incomplete Documents
5340,2599,2024-07-07,Personal,454400,Rejected,Low Credit Score
5341,5757,2025-08-01,Business,1936300,Pending,
5342,3317,2025-11-09,Auto,193100,Approved,
5343,4569,2024-12-24,Home,676800,Rejected,Low Credit Score
5344,2220,2024-08-30,Home,111100,Approved,
5345,2880,2025-11-05,Home,788500,Approved,
5346,4177,2024-05-21,Personal,776200,Approved,
5347,2801,2025-12-16,Personal,154100,Approved,
5348,2099,2025-01-04,Education,666900,Approved,
5349,2121,2025-11-02,Auto,889200,Approved,
5350,4723,2023-12-29,Education,1573000,Approved,
5351,5124,2024-06-30,Business,2066200,Approved,
5352,4174,2023-11-28,Personal,619400,Rejected,Incomplete Documents
5353,3910,2025-10-10,Personal,836400,Approved,
5354,5215,2025-10-12,Auto,178500,Rejected,Low Credit Score
5355,2608,2025-04-16,Personal,662300,Approved,
5356,4099,2023-04-08,Personal,837000,Approved,
5357,1150,2023-01-11,Education,423400,Approved,
5358,1682,2023-08-02,Business,645600,Approved,
5359,4226,2023-02-09,Personal,875000,Rejected,Insufficient Income
5360,1762,2024-03-14,Personal,206300,Approved,
5361,1183,2024-03-06,Auto,1020000,Approved,
5362,3231,2025-09-14,Education,785200,Rejected,Insufficient Income
5363,1173,2024-03-20,Personal,442100,Approved,
5364,3590,2023-02-03,Home,1347700,Pending,
5365,2858,2023-03-03,Personal,432400,Rejected,Incomplete Documents
5366,1355,2025-09-04,Personal,3364400,Approved,
5367,3202,2024-08-29,Education,1102100,Rejected,Low Credit Score
5368,3433,2023-11-03,Education,581500,Approved,
5369,1733,2023-12-19,Education,1168600,Approved,
5370,1920,2025-12-17,Home,1351700,Approved,
5371,2335,2023-05-03,Auto,260200,Approved,
5372,5650,2023-01-03,Personal,514500,Approved,
5373,4141,2025-11-12,Personal,368600,Rejected,Low Credit Score
5374,1361,2025-03-25,Education,4461700,Rejected,Incomplete Documents
5375,1874,2025-12-07,Personal,142000,Approved,
5376,2087,2023-09-10,Home,1092800,Rejected,Incomplete Documents
5377,1718,2023-11-06,Auto,341000,Rejected,High Existing Debt
5378,3543,2024-06-15,Home,288800,Approved,
5379,5520,2023-07-16,Personal,848800,Approved,
5380,5937,2025-07-24,Personal,677000,Approved,
5381,1255,2024-04-07,Home,1215200,Approved,
5382,4835,2023-01-23,Personal,760900,Approved,
5383,5357,2024-11-30,Auto,297800,Approved,
5384,1523,2025-03-23,Auto,1534100,Rejected,Low Credit Score
5385,3628,2023-02-06,Education,629500,Approved,
5386,1416,2024-02-10,Home,273600,Rejected,Low Credit Score
5387,4077,2025-12-11,Business,284000,Rejected,Incomplete Documents
5388,1918,2025-11-03,Home,430800,Pending,
5389,1206,2024-06-13,Education,2518600,Approved,
5390,3130,2025-02-21,Home,57800,Approved,
5391,2091,2025-03-15,Business,1082100,Pending,
5392,5853,2024-01-21,Home,1014200,Rejected,Low Credit Score
5393,1267,2023-04-29,Auto,1257200,Approved,
5394,5847,2023-02-01,Home,567700,Approved,
5395,2767,2025-01-17,Education,446100,Approved,
5396,2764,2025-01-22,Home,2130500,Approved,
5397,5571,2023-09-03,Auto,179700,Pending,
5398,2510,2023-11-13,Education,222700,Rejected,Incomplete Documents
5399,1153,2025-02-11,Business,98100,Pending,
5400,1554,2025-05-02,Personal,407400,Approved,
5401,5583,2025-03-26,Personal,5605400,Rejected,Low Credit Score
5402,3619,2023-10-23,Education,243600,Rejected,High Existing Debt
5403,3677,2023-03-09,Education,894100,Approved,
5404,4797,2025-05-13,Education,383600,Approved,
5405,4843,2023-02-25,Education,488800,Approved,
5406,2399,2024-10-18,Business,261600,Rejected,High Existing Debt
5407,2772,2023-02-21,Auto,379500,Rejected,Insufficient Income
5408,4429,2024-09-28,Home,274400,Approved,
5409,2057,2025-07-26,Education,2605600,Approved,
5410,1838,2025-09-08,Personal,469000,Approved,
5411,3613,2023-05-08,Home,161400,Approved,
5412,3733,2025-09-01,Auto,1988500,Rejected,Incomplete Documents
5413,1967,2023-01-25,Auto,137000,Rejected,Incomplete Documents
5414,2522,2023-03-02,Personal,1160100,Approved,
5415,3771,2025-06-24,Personal,567500,Approved,
5416,4797,2024-01-23,Personal,1841000,Approved,
5417,2022,2024-10-01,Personal,249100,Approved,
5418,4121,2024-11-01,Personal,1652600,Approved,
5419,4086,2025-03-10,Education,956500,Approved,
5420,4790,2024-10-25,Home,728300,Approved,
5421,4266,2023-11-11,Auto,724500,Rejected,Insufficient Income
5422,3841,2023-07-19,Home,265200,Approved,
5423,2961,2024-12-05,Home,8000000,Pending,
5424,1247,2025-06-16,Personal,640000,Rejected,High Existing Debt
5425,4647,2024-09-27,Home,509500,Approved,
5426,1432,2023-04-26,Education,433500,Approved,
5427,1567,2025-09-16,Business,809200,Approved,
5428,1481,2024-02-13,Home,847600,Approved,
5429,5354,2024-07-18,Business,1076900,Rejected,Insufficient Income
5430,1535,2023-06-19,Home,487300,Rejected,Insufficient Income
5431,5272,2023-09-01,Home,1095200,Approved,
5432,1469,2025-12-20,Education,1445300,Rejected,Insufficient Income
5433,4959,2025-12-18,Personal,2997700,Approved,
5434,3575,2025-07-25,Personal,784400,Pending,
5435,5915,2023-03-16,Home,1435500,Pending,
5436,5248,2024-01-05,Business,247900,Rejected,Incomplete Documents
5437,5920,2023-05-06,Education,474600,Rejected,Insufficient Income
5438,3329,2023-04-26,Business,186200,Rejected,Incomplete Documents
5439,2622,2024-08-22,Home,205900,Rejected,High Existing Debt
5440,3996,2025-05-09,Auto,646700,Approved,
5441,2971,2024-07-15,Education,1036000,Approved,
5442,1431,2025-02-02,Education,965300,Approved,
5443,5094,2024-07-28,Education,321300,Approved,
5444,4664,2023-07-12,Auto,1228800,Approved,
5445,5416,2023-12-21,Home,220700,Approved,
5446,4243,2023-02-27,Business,343600,Rejected,Low Credit Score
5447,3119,2024-05-07,Home,560700,Approved,
5448,2112,2023-04-30,Home,287300,Approved,
5449,5066,2023-07-27,Education,312800,Pending,
5450,5153,2025-04-06,Home,793400,Rejected,High Existing Debt
5451,3215,2025-02-10,Home,416900,Approved,
5452,5727,2024-11-11,Home,531000,Approved,
5453,1797,2024-07-25,Home,2548400,Approved,
5454,4308,2024-06-15,Auto,1211700,Rejected,Incomplete Documents
5455,3970,2023-05-15,Personal,602900,Rejected,High Existing Debt
5456,2422,2023-12-17,Home,353400,Approved,
5457,5628,2024-07-27,Personal,1563500,Pending,
5458,5103,2024-10-05,Education,239100,Approved,
5459,2746,2023-07-19,Auto,430700,Approved,
5460,5075,2023-08-31,Personal,604200,Approved,
5461,3506,2025-05-03,Home,551900,Pending,
5462,1238,2025-10-09,Personal,125800,Approved,
5463,3499,2023-03-31,Personal,708900,Approved,
5464,5588,2024-08-16,Personal,1448100,Rejected,Insufficient Income
5465,1449,2025-11-10,Personal,810000,Rejected,Low Credit Score
5466,4230,2025-12-22,Home,1416000,Rejected,Incomplete Documents
5467,2005,2023-10-30,Business,558000,Approved,
5468,1639,2023-11-21,Personal,1275300,Rejected,High Existing Debt
5469,3251,2025-02-21,Auto,180200,Approved,
5470,3630,2023-09-17,Personal,2535000,Pending,
5471,3908,2025-06-13,Personal,2228600,Approved,
5472,5216,2024-09-17,Auto,1164800,Approved,
5473,5761,2024-03-20,Personal,970200,Approved,
5474,2559,2023-03-24,Auto,94700,Rejected,High Existing Debt
5475,3672,2023-06-03,Personal,234800,Pending,
5476,3961,2024-03-09,Personal,823600,Rejected,Low Credit Score
5477,3228,2024-02-21,Home,302300,Rejected,Insufficient Income
5478,5727,2023-04-12,Personal,1240000,Approved,
5479,5738,2023-06-11,Home,511600,Rejected,Incomplete Documents
5480,1953,2024-10-03,Home,350500,Approved,
5481,2536,2023-10-26,Business,663600,Rejected,Low Credit Score
5482,1493,2023-11-24,Personal,124100,Rejected,High Existing Debt
5483,2617,2024-06-16,Personal,138400,Approved,
5484,3991,2024-07-01,Personal,420400,Rejected,High Existing Debt
5485,4399,2025-06-09,Auto,422100,Approved,
5486,3445,2024-03-01,Auto,464600,Approved,
5487,4584,2023-05-04,Personal,475300,Rejected,Insufficient Income
5488,1790,2025-01-06,Home,50000,Approved,
5489,2130,2025-02-19,Home,755900,Rejected,Incomplete Documents
5490,4964,2023-06-22,Personal,1869700,Approved,
5491,3382,2024-06-04,Auto,276800,Approved,
5492,5755,2025-01-08,Auto,709600,Rejected,Incomplete Documents
5493,2398,2023-06-09,Business,1678300,Rejected,Low Credit Score
5494,4547,2025-08-18,Personal,357400,Rejected,Low Credit Score
5495,3500,2025-05-20,Home,117100,Approved,
5496,5280,2023-03-30,Personal,1810400,Rejected,Incomplete Documents
5497,4160,2024-11-22,Home,248400,Approved,
5498,5677,2024-03-25,Home,512100,Rejected,Low Credit Score
5499,5718,2023-05-12,Auto,232700,Approved,
5500,5268,2023-03-04,Business,246900,Approved,
5501,3426,2023-04-18,Home,284200,Pending,
5502,3225,2023-11-17,Personal,938200,Rejected,Incomplete Documents
5503,5707,2025-10-02,Personal,1233300,Rejected,Insufficient Income
5504,3084,2023-11-03,Business,1465700,Approved,
5505,2477,2025-01-29,Education,884000,Approved,
5506,1225,2023-10-08,Personal,258900,Approved,
5507,3041,2023-07-27,Personal,315700,Pending,
5508,3978,2025-03-19,Personal,453100,Approved,
5509,2317,2024-05-31,Personal,1834200,Rejected,Insufficient Income
5510,4545,2025-01-09,Auto,958900,Rejected,Low Credit Score
5511,4365,2025-07-07,Personal,632100,Approved,
5512,3797,2024-09-13,Home,970500,Approved,
5513,2672,2023-06-15,Home,181300,Rejected,Incomplete Documents
